S0,K,T,r,sigma,price
90,50,0.1,0.05,0.2,39.716354
90,55,0.1,0.05,0.2,34.76511
90,60,0.1,0.05,0.2,29.872814
90,65,0.1,0.05,0.2,24.934864
90,70,0.1,0.05,0.2,20.09433
90,75,0.1,0.05,0.2,15.196281
90,80,0.1,0.05,0.2,10.299571
90,85,0.1,0.05,0.2,5.775489
90,90,0.1,0.05,0.2,2.493825
90,95,0.1,0.05,0.2,0.8307523
90,100,0.1,0.05,0.2,0.15929884
90,105,0.1,0.05,0.2,-0.016327921
90,110,0.1,0.05,0.2,-0.0493117
90,115,0.1,0.05,0.2,-0.07899386
90,120,0.1,0.05,0.2,-0.100396216
90,125,0.1,0.05,0.2,-0.07849985
90,130,0.1,0.05,0.2,-0.04457194
90,135,0.1,0.05,0.2,-0.0061884555
90,140,0.1,0.05,0.2,0.0149812065
90,145,0.1,0.05,0.2,0.004322943
90,150,0.1,0.05,0.2,-0.014424387
95,50,0.1,0.05,0.2,44.668747
95,55,0.1,0.05,0.2,39.726933
95,60,0.1,0.05,0.2,34.817245
95,65,0.1,0.05,0.2,29.910305
95,70,0.1,0.05,0.2,24.980997
95,75,0.1,0.05,0.2,20.105442
95,80,0.1,0.05,0.2,15.202802
95,85,0.1,0.05,0.2,10.367112
95,90,0.1,0.05,0.2,5.907241
95,95,0.1,0.05,0.2,2.6662493
95,100,0.1,0.05,0.2,0.94665235
95,105,0.1,0.05,0.2,0.25443357
95,110,0.1,0.05,0.2,-0.034487788
95,115,0.1,0.05,0.2,-0.068089545
95,120,0.1,0.05,0.2,-0.102755606
95,125,0.1,0.05,0.2,-0.11544138
95,130,0.1,0.05,0.2,-0.08476931
95,135,0.1,0.05,0.2,-0.046778742
95,140,0.1,0.05,0.2,-0.013342921
95,145,0.1,0.05,0.2,0.011946615
95,150,0.1,0.05,0.2,0.008032735
100,50,0.1,0.05,0.2,49.643208
100,55,0.1,0.05,0.2,44.7227
100,60,0.1,0.05,0.2,39.726734
100,65,0.1,0.05,0.2,34.773174
100,70,0.1,0.05,0.2,29.850176
100,75,0.1,0.05,0.2,24.961857
100,80,0.1,0.05,0.2,20.05225
100,85,0.1,0.05,0.2,15.158515
100,90,0.1,0.05,0.2,10.367488
100,95,0.1,0.05,0.2,6.025962
100,100,0.1,0.05,0.2,2.8397856
100,105,0.1,0.05,0.2,1.0814618
100,110,0.1,0.05,0.2,0.36234182
100,115,0.1,0.05,0.2,-0.05049235
100,120,0.1,0.05,0.2,-0.093066275
100,125,0.1,0.05,0.2,-0.1266604
100,130,0.1,0.05,0.2,-0.11790949
100,135,0.1,0.05,0.2,-0.09157854
100,140,0.1,0.05,0.2,-0.053237025
100,145,0.1,0.05,0.2,-0.020981852
100,150,0.1,0.05,0.2,-0.007601801
105,50,0.1,0.05,0.2,54.773273
105,55,0.1,0.05,0.2,49.77593
105,60,0.1,0.05,0.2,44.839367
105,65,0.1,0.05,0.2,39.81576
105,70,0.1,0.05,0.2,34.76727
105,75,0.1,0.05,0.2,29.835558
105,80,0.1,0.05,0.2,24.939745
105,85,0.1,0.05,0.2,20.023653
105,90,0.1,0.05,0.2,15.150254
105,95,0.1,0.05,0.2,10.337467
105,100,0.1,0.05,0.2,6.103339
105,105,0.1,0.05,0.2,3.0186663
105,110,0.1,0.05,0.2,1.2483777
105,115,0.1,0.05,0.2,0.45332044
